"NUMEROPROCESSO","ANOPROCESSO","NUMEROMODALIDADE","LICITANTES","LICITANTES_VENCEDORES","NOMENATUREZA","NOMEMODALIDADE","SITUACAOLICITACAO","ESTAGIOLICITACAO","DATAPUBLICACAOHOMOLOGACAO","DATAEMISSAOEDITAL","DATAPUBLICACAOHABILITACAO","TOTALADJUDICADOLICITACAO","VALORESTIMADO","UNIDADEGESTORA","UNIDADE_GESTORA","DESCRICAOOBJETO","ESPECIFICACAOOBJETO","CARACTERISTICAOBJETO","ULTIMAATUALIZACAO","OBJETO"
"79","2022","53","LOCASERV LOCAÇÕES E SERVIÇOS LTDA: 02694924000160 - Não Vencedor; VALDSON LEITE GONZAGA 03394221497: 19459842000134 - Vencedor; ELIOMAR BATISTA DA SILVA 03355947431: 19682345000109 - Vencedor; GENILDO JOSE DA SILVA 86184121472: 26879424000161 - Vencedor; G BRAGA DOS SANTOS : 27623597000187 - Vencedor; MARCOS AURELIO DE SOUZA BENEVIDES SILVA 09362539403: 29345473000102 - Vencedor; JOSE CICERO FERREIRA DE OLIVEIRA 06919147459: 31046466000151 - Vencedor; JUNIOR CESAR ALVES 11354211456: 36540008000198 - Vencedor; WOUNEY MARTINS DE ARAUJO 03330609460: 36557356000178 - Vencedor; JOBSON JOSE DE ASSIS SANTOS 03021382428: 36558562000100 - Vencedor; JOAO PAULO ALVES CINTRA 09896519404: 36558733000193 - Vencedor; NELSON PEDRO DOS SANTOS 70653267487: 36559373000144 - Vencedor; CICERO DA SILVA ALBUQUERQUE 05010720477: 36582967000176 - Vencedor; VALDEMAR FERREIRA BEZERRA 26048443897: 36583414000138 - Vencedor; JOSE ANTONIO DA SILVA 92233589491: 38829340000100 - Vencedor; ALEXSANDRO DA SILVA MORAES 03489904486: 40951751000108 - Vencedor; ALBERTO GUIMARAES DA SILVA 91930081472: 43504209000103 - Vencedor; DOMINGOS BARBOSA DO NASCIMENTO 07553252492: 43504527000166 - Vencedor; JOSE AILTON DE LIMA NASCIMENTO 04860068408: 43802266000160 - Vencedor; ELIAS TRANSPORTE: 43802788000162 - Vencedor; EDIVALDO PEREIRA DE FREITAS 02746533464: 43803887000169 - Vencedor; ARINO NOGUEIRA DOS SANTOS: 43804580000182 - Vencedor; SEBASTIAO SEVERINO DA SILVA 07105857480: 43905582000168 - Vencedor; JOSE CARLOS DE LIMA 50683047434: 43907275000116 - Vencedor; PAULO JOSE DA SILVA 04683027437: 43925284000130 - Vencedor; JOSE EZEQUIEL DOS SANTOS 07414260488: 43999543000177 - Vencedor; JOSE CICERO DA SILVA 03010323433: 44112734000138 - Vencedor; EMERSON BARBOSA DE OLIVEIRA 11199299464: 44664348000159 - Vencedor; JAMERSON TRANSPORTES: 44696008000100 - Vencedor; EDIVALDO DE LIMA NASCIMENTO 05516630495: 45637652000170 - Vencedor; JOSE ROSELANDO COSTA 10223064483: 45718448000183 - Vencedor; LAECIO GALDINO CORDEIRO 01832079473: 46108246000182 - Vencedor; ROBERTO JOAO DE SOUZA 34479474897: 46201772000192 - Vencedor; MARCELO VENANCIO DA SILVA 02105104479: 46277818000157 - Vencedor; MARCOS JOSE FERREIRA 01212678494: 46812623000160 - Vencedor; JOSE WILSON DA SILVA 06708445433: 47129679000187 - Vencedor; EVERTON FELIPE DA SILVA NASCIMENTO 07798498419: 47235657000100 - Vencedor; ARLINDO VITALINO DO NASCIMENTO 02597513831: 47249694000169 - Vencedor; EMERSON HENRIQUE BARBOSA DIAS 07753975471: 47308072000164 - Vencedor; ","VALDSON LEITE GONZAGA 03394221497: 19459842000134; ELIOMAR BATISTA DA SILVA 03355947431: 19682345000109; GENILDO JOSE DA SILVA 86184121472: 26879424000161; G BRAGA DOS SANTOS : 27623597000187; MARCOS AURELIO DE SOUZA BENEVIDES SILVA 09362539403: 29345473000102; JOSE CICERO FERREIRA DE OLIVEIRA 06919147459: 31046466000151; JUNIOR CESAR ALVES 11354211456: 36540008000198; WOUNEY MARTINS DE ARAUJO 03330609460: 36557356000178; JOBSON JOSE DE ASSIS SANTOS 03021382428: 36558562000100; JOAO PAULO ALVES CINTRA 09896519404: 36558733000193; NELSON PEDRO DOS SANTOS 70653267487: 36559373000144; CICERO DA SILVA ALBUQUERQUE 05010720477: 36582967000176; VALDEMAR FERREIRA BEZERRA 26048443897: 36583414000138; JOSE ANTONIO DA SILVA 92233589491: 38829340000100; ALEXSANDRO DA SILVA MORAES 03489904486: 40951751000108; ALBERTO GUIMARAES DA SILVA 91930081472: 43504209000103; DOMINGOS BARBOSA DO NASCIMENTO 07553252492: 43504527000166; JOSE AILTON DE LIMA NASCIMENTO 04860068408: 43802266000160; ELIAS TRANSPORTE: 43802788000162; EDIVALDO PEREIRA DE FREITAS 02746533464: 43803887000169; ARINO NOGUEIRA DOS SANTOS: 43804580000182; SEBASTIAO SEVERINO DA SILVA 07105857480: 43905582000168; JOSE CARLOS DE LIMA 50683047434: 43907275000116; PAULO JOSE DA SILVA 04683027437: 43925284000130; JOSE EZEQUIEL DOS SANTOS 07414260488: 43999543000177; JOSE CICERO DA SILVA 03010323433: 44112734000138; EMERSON BARBOSA DE OLIVEIRA 11199299464: 44664348000159; JAMERSON TRANSPORTES: 44696008000100; EDIVALDO DE LIMA NASCIMENTO 05516630495: 45637652000170; JOSE ROSELANDO COSTA 10223064483: 45718448000183; LAECIO GALDINO CORDEIRO 01832079473: 46108246000182; ROBERTO JOAO DE SOUZA 34479474897: 46201772000192; MARCELO VENANCIO DA SILVA 02105104479: 46277818000157; MARCOS JOSE FERREIRA 01212678494: 46812623000160; JOSE WILSON DA SILVA 06708445433: 47129679000187; EVERTON FELIPE DA SILVA NASCIMENTO 07798498419: 47235657000100; ARLINDO VITALINO DO NASCIMENTO 02597513831: 47249694000169; EMERSON HENRIQUE BARBOSA DIAS 07753975471: 47308072000164; ","Outros Serviços","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","22/09/2022","15/07/2022","22/09/2022","1770282.19","2246431.16","1","","SERVIÇOS DE TRANSPORTE DE PASSAGEIROS","CONTRATAÇÃO DE VEÍCULOS COM MOTORISTA PARA TRANSPORTE DE SERVIDORES, TRANSPORTE ESCOLAR, FISCALIZAÇÃO E PARA OUTRAS FINALIDADES DA ADMINISTRAÇÃO.","Por Itens","22/07/2022","O objeto da presente licitação é a contratação de MEI e de empresa especializada na prestação de serviços de Transporte Escolar para estudantes da Rede Pública de Ensino, localizados na zona rural, para suprir as necessidades da Secretaria de Educação e Tecnologia do Município de Belo Jardim/PE, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"78","2022","52","ELETROPALMA COMERIO MATERIAL  ELETRICO: 07245932000143 - Não Vencedor; VARGAS COMERCIO DE FERRAMENTAS LTDA: 07514710000189 - Vencedor; TECA TECNOLOGIA E COMERCIO LTDA: 11163447000106 - Não Vencedor; PROTEGGERE INDUSTRIA E COMERCIO DE EPI S EIRELI: 12670981000163 - Não Vencedor; MASTERSUL EQUIPAMENTOS DE SEGURANÇA LTDA: 18274923000105 - Vencedor; CAPITAL DA CONSTRUCAO COMERCIO E SERVICO EIRELI: 19299794000164 - Não Vencedor; NORTHWEST MÁQUINAS E FERRAMENTAS LTDA: 37247494000113 - Não Vencedor; ANTONIO FELIX DA SILVA CONSTRUCAO-ME: 11839297000108 - Vencedor; AKIRA COMERCIAL LTDA : 25106928000186 - Vencedor; META COMERCIO DE FERRAGENS E FERRAMENTAS EIRELI : 27518373000105 - Vencedor; SB CONSTRUÇÕES E CLIMATIZAÇÕES LTDA: 29308439000168 - Não Vencedor; ","VARGAS COMERCIO DE FERRAMENTAS LTDA: 07514710000189; MASTERSUL EQUIPAMENTOS DE SEGURANÇA LTDA: 18274923000105; ANTONIO FELIX DA SILVA CONSTRUCAO-ME: 11839297000108; AKIRA COMERCIAL LTDA : 25106928000186; META COMERCIO DE FERRAGENS E FERRAMENTAS EIRELI : 27518373000105; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","04/08/2022","05/07/2022","04/08/2022","79991.44","168609.11","1","","CONSUMO","CONSUMO","Por Itens","08/07/2022","O objeto da presente licitação é o registro de preçospara eventual aquisição de materiais de consumo para revitalização  e manutenção de Jardins atendendo a necessidade Secretaria de Obras conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"77","2022","51","I E S DA ROCHA EIRELLI: 04189240000137 - Não Vencedor; HENRIQUE & MARQUES LOCADORA LTDA: 06942421000118 - Não Vencedor; OTERRA'B CONSTRUTORA & SERVICOS LTDA: 09249063000150 - Não Vencedor; JULIO MARIO DA SILVA LTDA: 10298629000113 - Não Vencedor; SOLUÇÕES RENT A CAR LTDA: 11078937000104 - Vencedor; VALE BENTO LOCACAO E SERVICOS LTDA - EPP: 11757223000114 - Vencedor; ALOHA ALUGUEL DE VEÍCULOS EIRELI: 13466110000195 - Vencedor; AUREO ADAIR KOMMERS - EIRELI: 33355869000108 - Não Vencedor; SENCONSULT - LOCAÇÃO DE VEÍCULOS E CONSTRUCAO LTDA: 40888380000167 - Vencedor; NOVOS TEMPOS LOCAÇÕES DE VEÍCULOS EIRELI: 43254698000184 - Não Vencedor; REGINALDO JOSE DOS SANTOS 45268975404: 45217867000131 - Vencedor; MARIA APARECIDA SILVA DIONIZIO: 45232236000191 - Vencedor; SEBASTIAO VIEIRA DA SILVA 18372821453: 45423510000100 - Vencedor; ","SOLUÇÕES RENT A CAR LTDA: 11078937000104; VALE BENTO LOCACAO E SERVICOS LTDA - EPP: 11757223000114; ALOHA ALUGUEL DE VEÍCULOS EIRELI: 13466110000195; SENCONSULT - LOCAÇÃO DE VEÍCULOS E CONSTRUCAO LTDA: 40888380000167; REGINALDO JOSE DOS SANTOS 45268975404: 45217867000131; MARIA APARECIDA SILVA DIONIZIO: 45232236000191; SEBASTIAO VIEIRA DA SILVA 18372821453: 45423510000100; ","Locação de Bens","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","23/08/2022","22/07/2022","23/08/2022","704208","1112195.4","1","","LOCAÇÃO DE VEÍCULOS","LOCAÇÃO DE VEÍCULOS PARA TRANSPORTE DE SERVIDORES E OUTRAS PESSOAS COM A FINALIDADE DE CUMPRIR AS ATIVIDADES DA ADMINISTRAÇÃO. ","Por Itens","22/07/2022","O objeto da presente licitação é a contratação de empresa especializada para prestação de serviços de locação de veículos, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"76","2022","15","JOÃO RIVAL DE FREITAS : ***.***.938-78 - Vencedor; ","JOÃO RIVAL DE FREITAS : ***.***.938-78; ","Locação de Bens","Inexigibilidade","Concluído","Processo Adjudicado / Homologado / Ratificado","20/06/2022","20/06/2022","","10800","10800","1","","LOCAÇÃO DE IMÓVEIS","REMUNERAÇÃO DE SERVIÇOS DE ALUGUEL DE PRÉDIOS, SALAS E OUTROS IMÓVEIS. ","Por Itens","30/01/2023","Locação de imóvel localizado na Rua João Batista Senhorinho N° 104, Cohab II, Belo Jardim- PE, que se destina ao funcionamento da clínica veterinária Vitória Brenda."
"72","2022","50","","","Compras","Pregão Eletrônico","Processo Deserto","Edital Publicado","","30/06/2022","","","15651.96","1","","PRIVADA HIGIÊNICA","UNIDADE DO SISTEMA DE ESGOTAMENTO SANITÁRIO - GERALMENTE CONSTÍTUÍDA DE CASA DE ABRIGO E FOSSA SECA OU COM VEICULAÇÃO HÍDRICA","Por Itens","06/07/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de Banheiros químicos para atender as necessidades da população nas feiras no Município atendendo à solicitação Secretaria de Obras conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"71","2022","14","GENUÍNA NEUZA DE SOUZA: ***.***.694-92 - Vencedor; ","GENUÍNA NEUZA DE SOUZA: ***.***.694-92; ","Locação de Bens","Inexigibilidade","Concluído","Processo Adjudicado / Homologado / Ratificado","03/06/2022","03/06/2022","","14400","14400","1","","LOCAÇÃO DE IMÓVEIS","REMUNERAÇÃO DE SERVIÇOS DE ALUGUEL DE PRÉDIOS, SALAS E OUTROS IMÓVEIS. ","Por Itens","22/07/2022","Locação de imóvel localizado na Rua Belo Vista , n°356, Distrito de Xucuru, zona rural de Belo Jardim-PE, com período de início da utilização do imóvel em 03/06/2022."
"70","2022","49","AUDIOVISÃO ELETRO E CENTRAL DE PRODUTOS LTDA: 00489661000122 - Vencedor; MICROTECNICA INFORMÁTICA LTDA: 01590728000930 - Não Vencedor; SCORPION INFORMÁTICA EIRELI: 04567265000127 - Vencedor; TACARUNA COMERCIO E SERVICOS LTDA: 05040156000110 - Não Vencedor; VINICIUS CHAVES DOS SANTOS: 05207424000145 - Não Vencedor; V. C. DA ROCHA DISTRIBUIDORA - ME: 05808979000142 - Vencedor; RHP COMPUTADORES LTDA: 06187402000123 - Não Vencedor; MICRORAR INFORMATICA LTDA : 06327037000105 - Não Vencedor;  BNB COMÉRCIO DE EQUIPAMENTOS DE INFORMÁTICA LTDA : 08692456000171 - Não Vencedor; CLAVES E NOTAS COMERCIO DE INSTRUMENTOS MUSICAIS EIRELI : 09450715000110 - Não Vencedor; ALADIM DISTRIBUIDORA E COMERCIO LTDA: 10417279000167 - Não Vencedor; LFN COMÉRCIO E SERVIÇOS LTDA.: 10639199000156 - Não Vencedor;  LUANDA COMÉRCIO DE SUPRIMENTOS PARA INFORMÁTICA LTDA - EPP: 10742589000157 - Não Vencedor; CITSO COMERCIO E SERVIÇO IMPORTADOR DE INFORMATICA LTDA: 12449629000100 - Vencedor; EMMENSA VAREJISTA DE SUPRIMENTOS E ALIMENTOS LTDA: 13573964000170 - Vencedor; I C SERAFINI REFRIGERACAO: 14516591000169 - Vencedor; ONE Comercial LTDA: 14517117000151 - Não Vencedor; TKL COMERCIAL LTDA : 14724532000186 - Não Vencedor; BJ SERVICOS E PARTICIPACOES LTDA: 15316424000137 - Vencedor; QUALITY ATACADO EIRELI : 15724019000158 - Vencedor;  LICITEC TECNOLOGIA EIRELI EPP: 16628132000100 - Não Vencedor; IDPROMO COMERCIAL  EIRELI : 17791755000154 - Não Vencedor; G PARTNER TECNOLOGIA EIRELI: 18516766000199 - Não Vencedor; J A ALVES MOTA: 18557195000130 - Não Vencedor; ILMA CHAVES PEREIRA 74191209604 : 19026964000137 - Não Vencedor; N A FERREIRA SUPRIMENTOS DE INFORMÁTICA: 20915722000183 - Não Vencedor; CMK AUTOMAÇÃO COMERCIAL EIRELI : 22416068000270 - Não Vencedor; EVOLUE COMERCIO DE EQUIPAMENTOS PARA TELECOMUNICACAO: 22694700000166 - Não Vencedor; STYLLUS PAPEIS E PRESENTES LTDA: 25070251000173 - Não Vencedor; IMPORT PRINT CARTRIGE SUPRIMENTOS EIRELI: 26065427000161 - Vencedor; MTSI COMERCIO E SERVICOS DE IMPRESSAO LTDA: 26145027000166 - Não Vencedor; MARC COMÉRCIO DE MATERIAIS, TECNOLOGIA E SERVIÇOS LTDA: 27995686000154 - Não Vencedor; HMA COMÉRCIO E ATACADISTA DE PRODUTOS DE INFORMÁTICA E ELETROELETRÔNICOS LTDA: 29391476000182 - Não Vencedor; ERS SEGURANÇA ELETRÔNICA LTDA: 31053239000153 - Não Vencedor; GRAVITEON FABRICAÇÃO DE IMPRESSOS EM MATERIAS DIVERSOS: 31159735000196 - Não Vencedor; P A N DE SIQUEIRA JUNIOR COMERCIO VAREJISTA E SERVIÇOS DE EQUIPAMENTOS DE INFORMÁTICA LTDA: 31557186000108 - Vencedor; WANDERLEIA VARELA DE ANDRADE: 31643700000128 - Vencedor; C KOZAR DOS SANTOS INFO ELETRO: 32314972000147 - Não Vencedor; SDK COMÉRCIO DE SUPRIMENTOS PARA INFORMÁTICA EIRELI: 32648650000134 - Não Vencedor; CAMILA GAVASSONI NASCIMENTO EIRELI : 32953789000191 - Vencedor; ANV COMERCIO DE PRODUTOS PARA TELEINFORMATICA LTDA: 33043732000118 - Vencedor; BEATRIZ Araújo da Luz 43040022873: 33726859000131 - Vencedor; GABRIELA SÃO BERNARDO FERREIRA DE MELO: 34152516000173 - Vencedor; L&M SOLUÇÕES TECNOLÓGICAS EM INFORMÁTICA EIRELI: 35169152000105 - Vencedor; LBTECH DISTRIBUIDORA E COMERCIO DE INFORMATICA LTDA: 35459909000197 - Vencedor; QUALITY COMERCIO DE PRODUTOS ALIMENTICIOS EIRELI: 35475496000134 - Não Vencedor; LL SOLUÇÕES E SERVIÇOS DE APOIO ADMINISTRATIVO LTDA : 36925507000101 - Vencedor; VANESCA SILVA BATISTA 06867568513: 37261083000182 - Vencedor; ANDEROX COMÉRCIO AUDIOVISUAL LTDA: 37348536000102 - Vencedor; LEILA APARECIDA BONILHA: 37434968000136 - Não Vencedor; DANTON GABRIEL SIMPLICIO DE SALES SILVA: 38084603000191 - Vencedor; ALEXANDRE FREIRE: 39334587000100 - Não Vencedor; DARLU INDÚSTRIA TÊXTIL LTDA: 40223106000179 - Vencedor; TREER TECNOLOGY EIRELI: 41680761000119 - Vencedor; POLICROMEX COMÉRCIO E SERVIÇOS EM INFORMÁTICA, EQUIPAMENTOS REPROGRAFICOS, GRAFICA RAPIDA E PAPELARIA LTDA: 42349617000167 - Vencedor; M&M ELETROFIBRAS LTDA: 42510505000146 - Não Vencedor; VOLGA COMERCIAL DE EQUIPAMENTOS LTDA - ME: 42580139000100 - Vencedor; LEIVYDEANE DE ALMEIDA BARBOSA DANTAS 86135783220: 42726388000152 - Vencedor; SUPRIPRIME SUPRIMENTOS DE INFORMÁTICA EIRELI: 43299151000103 - Não Vencedor; DIGITAL BUSINESS LTDA: 43926766000104 - Não Vencedor; GABRIEL DE ARAUJO AZARIAS: 44398128000120 - Não Vencedor; TREEBUY LTDA: 44444374000171 - Não Vencedor; TECNOGOV COMERCIAL LTDA: 45319408000169 - Não Vencedor; AMEP TECNOLOGIA E DISTRIBUIÇÃO LTDA: 47215999000150 - Não Vencedor; ","AUDIOVISÃO ELETRO E CENTRAL DE PRODUTOS LTDA: 00489661000122; SCORPION INFORMÁTICA EIRELI: 04567265000127; V. C. DA ROCHA DISTRIBUIDORA - ME: 05808979000142; CITSO COMERCIO E SERVIÇO IMPORTADOR DE INFORMATICA LTDA: 12449629000100; EMMENSA VAREJISTA DE SUPRIMENTOS E ALIMENTOS LTDA: 13573964000170; I C SERAFINI REFRIGERACAO: 14516591000169; BJ SERVICOS E PARTICIPACOES LTDA: 15316424000137; QUALITY ATACADO EIRELI : 15724019000158; IMPORT PRINT CARTRIGE SUPRIMENTOS EIRELI: 26065427000161; P A N DE SIQUEIRA JUNIOR COMERCIO VAREJISTA E SERVIÇOS DE EQUIPAMENTOS DE INFORMÁTICA LTDA: 31557186000108; WANDERLEIA VARELA DE ANDRADE: 31643700000128; CAMILA GAVASSONI NASCIMENTO EIRELI : 32953789000191; ANV COMERCIO DE PRODUTOS PARA TELEINFORMATICA LTDA: 33043732000118; BEATRIZ Araújo da Luz 43040022873: 33726859000131; GABRIELA SÃO BERNARDO FERREIRA DE MELO: 34152516000173; L&M SOLUÇÕES TECNOLÓGICAS EM INFORMÁTICA EIRELI: 35169152000105; LBTECH DISTRIBUIDORA E COMERCIO DE INFORMATICA LTDA: 35459909000197; LL SOLUÇÕES E SERVIÇOS DE APOIO ADMINISTRATIVO LTDA : 36925507000101; VANESCA SILVA BATISTA 06867568513: 37261083000182; ANDEROX COMÉRCIO AUDIOVISUAL LTDA: 37348536000102; DANTON GABRIEL SIMPLICIO DE SALES SILVA: 38084603000191; DARLU INDÚSTRIA TÊXTIL LTDA: 40223106000179; TREER TECNOLOGY EIRELI: 41680761000119; POLICROMEX COMÉRCIO E SERVIÇOS EM INFORMÁTICA, EQUIPAMENTOS REPROGRAFICOS, GRAFICA RAPIDA E PAPELARIA LTDA: 42349617000167; VOLGA COMERCIAL DE EQUIPAMENTOS LTDA - ME: 42580139000100; LEIVYDEANE DE ALMEIDA BARBOSA DANTAS 86135783220: 42726388000152; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","18/07/2022","01/09/2022","14/11/2022","466314.14","791295.2","1","","UTENSÍLIOS PARA ESCRITÓRIO","CARIMBO DIGITADOR, DE METAL, COMPASSO, ESTOJO PARA DESENHO, GLOBO TERRESTRE, GRAMPEADOR, MÁQUINA DE CALCULAR,RÉGUA DE PRECISÃO, RÉGUA T, E AFINS.","Por Itens","08/12/2022"," O objeto da presente licitação é o registro de preços para eventual aquisição de materiais de escritório e de TIC, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"69","2022","48","MANUPA COM. DE EQUIP E FERRAMENTAS EIRELI: 03093776000787 - Vencedor; VRIO SOLUCOES SERVICOS DE MONTAGENS MOVEIS EIRELI: 20351700000138 - Não Vencedor; MEGA COMERCIAL E SERVICOS EIRELI: 33430640000190 - Vencedor; G10 TRANSFORMADORA COMERCIO E SERVICOS LTDA: 38120508000104 - Não Vencedor; VIA SUL VEICULOS S/A: 40841736000298 - Não Vencedor; ","MANUPA COM. DE EQUIP E FERRAMENTAS EIRELI: 03093776000787; MEGA COMERCIAL E SERVICOS EIRELI: 33430640000190; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","15/07/2022","23/06/2022","15/07/2022","1288363.33","4393536.86","1","","VEÍCULOS AUTOMOTIVOS","VEÍCULOS DE TRAÇÃO MECÂNICA, TAIS COMO:AMBULÂNCIA, AUTOMÓVEL, BASCULANTE, CAÇAMBA, CAMINHÃO, CARRO-FORTE, CONSULTÓRIO VOLANTE, FURGÃO, LAMBRETA, MICROÔNIBUS, MOTOCICLETA, ÔNIBUS, RABECÃO, VASSOURAMECÂNICA, VEÍCULO COLETOR DE LIXO E AFINS.","Por Itens","29/06/2022","O objeto da presente licitação é Aquisição de ambulância tipo ?D?, Micro-ônibus para conduzir pacientes em Tratamento Fora Domicílio e Maquinários, visando atender as demandas das Secretárias do Município de Belo Jardim-PE, quantidades e exigências estabelecidas neste Edital e seus anexos."
"68","2022","47","O. C. INSTALAÇÃO E MANUTENÇÃO LTDA: 19840753000133 - Não Vencedor; SILVIO ROMERO DOS SANTOS SILVA LEITE EIRELI EPP: 24500544000180 - Vencedor; ","SILVIO ROMERO DOS SANTOS SILVA LEITE EIRELI EPP: 24500544000180; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","18/07/2022","28/06/2022","18/07/2022","1017000","1527462","1","","SERVIÇO","SERVIÇO","Por Itens","29/06/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de materiais de asfalto para manutenção de vias urbanas com pavimentação asfáltica atendendo a necessidade Secretaria de Obras conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"67","2022","3","","","Obras","Regime Diferenciado de Contratações (RDC)","Em Andamento","Edital Publicado","","15/07/2022","","","200926.07","1","","OBRAS","OBRAS","Por Lotes","01/07/2022","O objeto da presente licitação é a construção estrutura da Estátua do Cristo Redentor, Salão de Orações, sanitários e área aos pés da estátua, no Distrito de Serra do Vento, Belo Jardim-PE, conforme projeto arquitetônico, anexo."
"66","2022","13","TIAGO DE ARAÚJO SILVA: ***.***.414-60 - Vencedor; ","TIAGO DE ARAÚJO SILVA: ***.***.414-60; ","Locação de Bens","Inexigibilidade","Concluído","Processo Adjudicado / Homologado / Ratificado","20/06/2022","03/01/2022","","30000","30000","1","","LOCAÇÃO DE IMÓVEIS","REMUNERAÇÃO DE SERVIÇOS DE ALUGUEL DE PRÉDIOS, SALAS E OUTROS IMÓVEIS. ","Por Itens","01/07/2022","Locação de 01 (um) imóvel, localizado na Rua Inácio Bezerra da Rocha, 34, Bairro Cohab-I, Belo Jardim/PE, que se destina ao funcionamento da Escola Municipal Professor Júlio Magalhães de Barros Júnior. "
"65","2022","46","REJANE COMERCIO DE PRODUTOS PEDAGOGICOS EIRELI: 01763210000102 - Vencedor; T NAVA COMÉRCIO DE ELETRODOMÉSTICOS ? EIRELI ?: 18912500000165 - Vencedor; ULISSES GUIMARAES ANACLETO LOJA DE VARIEDADES: 34290686000114 - Vencedor; THIAGO BARSALOBRES BOTTARO: 38653144000110 - Vencedor; WILLIAN DO NASCIMENTO DA SILVA 11177937450: 41263993000171 - Não Vencedor; SONE COMÉRCIO ATACADISTA DE MULTIPRODUTOS LTDA: 42339589000105 - Vencedor; ","REJANE COMERCIO DE PRODUTOS PEDAGOGICOS EIRELI: 01763210000102; T NAVA COMÉRCIO DE ELETRODOMÉSTICOS ? EIRELI ?: 18912500000165; ULISSES GUIMARAES ANACLETO LOJA DE VARIEDADES: 34290686000114; THIAGO BARSALOBRES BOTTARO: 38653144000110; SONE COMÉRCIO ATACADISTA DE MULTIPRODUTOS LTDA: 42339589000105; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","18/07/2022","15/06/2022","18/07/2022","158857.02","227128.03","1","","CONSUMO","CONSUMO","Por Itens","17/06/2022","O objeto da presente licitação é o registro de preços para eventual aquisição de materiais de consumo para montagem de caixas pedagógicas visando melhor qualidade de ensino e aprendizagem dos alunos da rede de escolas municipais com o intuito de suprir as necessidades da Secretaria de Educação e Tecnologia, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"64","2022","45","DISTRIBUIDORA DE ALIMENTOS CAVALCANTI EIRELI - EPP: 06536960000157 - Vencedor; DIFERENCIAL COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS LTDA: 09617964000158 - Vencedor; R J GONCALVES DE OLIVEIRA: 13506363000145 - Vencedor; RENATO JOSÉ BEZERRA DE PAULA - ME: 21693051000116 - Não Vencedor; MASCENA DISTRIBUIDORA LTDA: 31131079000113 - Não Vencedor; S VASCONCELOS ROSAS : 40457662000100 - Não Vencedor; ","DISTRIBUIDORA DE ALIMENTOS CAVALCANTI EIRELI - EPP: 06536960000157; DIFERENCIAL COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS LTDA: 09617964000158; R J GONCALVES DE OLIVEIRA: 13506363000145; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","08/07/2022","14/06/2022","08/07/2022","332291.15","368125.8","1","","GÊNEROS ALIMENTÍCIOS","GÊNEROS DE ALIMENTAÇÃO AO NATURAL, BENEFICIADOS OU CONSERVADOS, TAIS COMO: AÇÚCAR, ADOÇANTE, ÁGUA MINERAL, BEBIDAS, CAFÉ, CARNES EM GERAL, CEREAIS, CHÁS, CONDIMENTOS, FRUTAS, GELO, LEGUMES, REFRIGERANTES, SUCOS, TEMPEROS, VERDURAS E AFINS.","Por Itens","21/06/2022","O objeto da presente licitação é o registro de preços para eventual aquisição parcelada, de gêneros alimentícios para suprir as necessidades da Secretária de Ação Social conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos"
"63","2022","12","CLAUDENY DOS SANTOS QUEROZ: ***.***.024-72 - Vencedor; ","CLAUDENY DOS SANTOS QUEROZ: ***.***.024-72; ","Locação de Bens","Inexigibilidade","Concluído","Processo Adjudicado / Homologado / Ratificado","16/05/2022","16/05/2022","","6000","6000","1","","LOCAÇÃO DE IMÓVEIS","REMUNERAÇÃO DE SERVIÇOS DE ALUGUEL DE PRÉDIOS, SALAS E OUTROS IMÓVEIS. ","Por Itens","22/07/2022","Locação de imóvel localizado no Distrito de Água fria, Rua São Sebastião, s/n, Zona Rural, Belo Jardim-PE, que se destina ao funcionamento do anexo I da Escola Municipal Vereador Joaquim Medeiros de Cabral."
